bevesteging,bevestiging
bevesting,bevestiging
kado,cadeau
kompleet,compleet
kontakt,contact
dankejwel,dankjewel
dankje,dankjewel
dankjwel,dankjewel
dichtsbijzijnde,dichtstbijzijnde
doormiddel,door middel
effe,even
